ID	composite	slab	protection_material	tf	tw	h	b	dp	dps	ts	bs	plt	FireExposure	tFinal	dt	hfire	hamb
1	1	0	1	0.038142898	0.018270397	0.509088009	0.365712669	0.01746686	0.017334259	0.274873839	0.438855203	0	1	1000	10	35	10
2	0	0	1	0.03020384	0.02378732	0.230167037	0.2	0.019711049	0.010422958	0.254646313	0.515185172	0.01	1	1000	10	35	10
3	1	0	1	0.015	0.01039182	0.581091802	0.269170581	0.011003061	0.009235561	0.338007946	0.540728417	0	1	1000	10	35	10
4	0	0	1	0.019258959	0.010962128	0.37766972	0.358992043	0.019965369	0.014085039	0.125	0.536252581	0.010921563	1	1000	10	35	10
5	1	0	1	0.028605277	0.006	0.2	0.395191258	0.014674118	0.009488508	0.125	0.474229509	0	1	1000	10	35	10
6	1	0	1	0.015	0.021185149	0.249974097	0.208998357	0.010267191	0.014248262	0.2463423	0.250798029	0	1	1000	10	35	10
7	1	0	1	0.02186476	0.017805266	0.2	0.554808305	0.006113873	0.017971907	0.144490603	0.665769966	0	1	1000	10	35	10
8	1	0	1	0.029026799	0.008458201	0.2	0.351178244	0.01658721	0.013118579	0.232127017	0.569499981	0	1	1000	10	35	10
9	1	0	1	0.015	0.006805215	0.371400804	0.392344489	0.005	0.005	0.285601861	0.470813387	0	1	1000	10	35	10
10	0	1	1	0.032650809	0.006	0.38178041	0.2	0.005	0.005339561	0.125	0.24	0	1	1000	10	35	10
11	1	0	1	0.022678944	0.022518714	0.450509884	0.352038657	0.005	0.019958291	0.125	0.519575401	0	1	1000	10	35	10
12	0	0	1	0.044787902	0.007305557	0.207312122	0.297079671	0.010279238	0.010535802	0.125	0.497726794	0	1	1000	10	35	10
13	1	0	1	0.015	0.006	0.293824035	0.2	0.010623709	0.01191896	0.140371844	0.388623279	0	1	1000	10	35	10
14	0	0	1	0.015	0.013342493	0.437717165	0.215115509	0.014673488	0.00796335	0.156563839	0.556390072	0.013706102	1	1000	10	35	10
15	0	1	1	0.015	0.00688133	0.511166239	0.380001829	0.018190091	0.013506275	0.317444221	0.456002194	0	1	1000	10	35	10
16	1	0	1	0.018536593	0.006	0.445451667	0.267047897	0.011471825	0.009606254	0.125	0.320457476	0	1	1000	10	35	10
17	1	0	1	0.032926431	0.008193601	0.317449626	0.2	0.008074832	0.005	0.301143274	0.399003906	0	1	1000	10	35	10
18	1	0	1	0.016809367	0.015136063	0.2	0.2	0.005	0.013688356	0.246330554	0.405395806	0	1	1000	10	35	10
19	0	1	1	0.033322915	0.020745888	0.201251719	0.2	0.005457233	0.013903016	0.151806424	0.392738171	0	1	1000	10	35	10
20	0	1	1	0.037378521	0.006	0.472543149	0.2	0.005	0.00999737	0.125	0.297825478	0	1	1000	10	35	10
21	0	1	1	0.015	0.016548043	0.472737613	0.447792218	0.00548297	0.005	0.34218673	0.537350661	0	1	1000	10	35	10
22	0	0	1	0.040570555	0.024060827	0.517184281	0.326453174	0.011817178	0.005	0.280556687	0.391743809	0.01213676	1	1000	10	35	10
23	0	0	1	0.015	0.022254577	0.53149553	0.2	0.01626432	0.005524977	0.325509439	0.395027735	0.013855451	1	1000	10	35	10
24	0	0	1	0.015	0.006	0.279265378	0.2	0.019181993	0.008214585	0.125	0.463840662	0.01	1	1000	10	35	10
25	0	0	1	0.015	0.011931328	0.378571078	0.549240882	0.013196688	0.005	0.185796684	0.659089058	0.01	1	1000	10	35	10
26	0	1	1	0.015	0.021418125	0.218316016	0.2	0.005	0.016566084	0.2609905	0.569619544	0	1	1000	10	35	10
27	0	0	1	0.042030605	0.022126748	0.591924211	0.2	0.006780561	0.006653638	0.125	0.426321776	0	1	1000	10	35	10
28	0	1	1	0.036275311	0.010607982	0.245594414	0.338300442	0.009896656	0.005	0.201357426	0.555973069	0	1	1000	10	35	10
29	1	0	1	0.030522526	0.013459155	0.2	0.320746868	0.006868581	0.005	0.125	0.384896241	0	1	1000	10	35	10
30	1	0	1	0.015	0.023919901	0.317915216	0.2	0.006536047	0.016922439	0.125	0.358825821	0	1	1000	10	35	10
31	1	0	1	0.015	0.006	0.2	0.2	0.017256529	0.012807258	0.320326696	0.24	0	1	1000	10	35	10
32	0	0	1	0.04009653	0.006418623	0.448354746	0.504735461	0.005	0.00594292	0.125	0.605682553	0.01	1	1000	10	35	10
33	0	0	1	0.015090286	0.022137072	0.2	0.521859373	0.012773234	0.017323082	0.24046119	0.626231248	0.017684719	1	1000	10	35	10
34	1	0	1	0.017903837	0.011958672	0.420214609	0.2	0.010210406	0.019786393	0.145004466	0.461703912	0	1	1000	10	35	10
35	1	0	1	0.015	0.022483037	0.554899924	0.425942707	0.005	0.005826878	0.125	0.511131248	0	1	1000	10	35	10
36	1	0	1	0.015	0.006	0.2	0.499889628	0.009602283	0.005	0.125	0.599867554	0	1	1000	10	35	10
37	0	0	1	0.033612418	0.023325988	0.43902374	0.225145027	0.005846086	0.006794082	0.265673257	0.270174032	0.01	1	1000	10	35	10
38	1	0	1	0.02912379	0.013561922	0.375720163	0.2	0.005	0.015333319	0.125	0.373941962	0	1	1000	10	35	10
39	0	0	1	0.015	0.006	0.520589622	0.211967698	0.012793912	0.013263777	0.306654304	0.509850916	0	1	1000	10	35	10
40	0	0	1	0.039393707	0.019253417	0.2	0.385762248	0.015900068	0.019279266	0.254356077	0.462914698	0	1	1000	10	35	10
41	0	0	1	0.042765445	0.023927594	0.289925699	0.2	0.01936669	0.00897885	0.125	0.293492768	0	1	1000	10	35	10
42	1	0	1	0.043829466	0.017626052	0.528291422	0.2	0.01594426	0.005	0.30394309	0.24	0	1	1000	10	35	10
43	0	0	1	0.02689362	0.019748072	0.555386275	0.2	0.008062324	0.014721773	0.241656474	0.551317034	0	1	1000	10	35	10
44	1	0	1	0.031756602	0.00963474	0.2	0.502722374	0.016497975	0.018446868	0.264260553	0.603266849	0	1	1000	10	35	10
45	1	0	1	0.015	0.020093557	0.389836582	0.465214047	0.018616196	0.015609341	0.125	0.558256857	0	1	1000	10	35	10
46	1	0	1	0.035659764	0.006	0.2	0.2	0.009679216	0.007578856	0.131050306	0.24	0	1	1000	10	35	10
47	0	0	1	0.015	0.01078752	0.594623652	0.2	0.005	0.016457812	0.175778443	0.24	0	1	1000	10	35	10
48	1	0	1	0.015	0.023657056	0.573774175	0.220640171	0.005	0.007837959	0.125	0.264768205	0	1	1000	10	35	10
49	1	0	1	0.021563344	0.007717631	0.575462223	0.479070774	0.005	0.010107888	0.190735593	0.574884929	0	1	1000	10	35	10
50	1	0	1	0.015	0.010092965	0.2	0.2	0.013750653	0.016869682	0.125	0.449360458	0	1	1000	10	35	10
51	0	1	1	0.015	0.016123828	0.276178907	0.535176129	0.009628358	0.017679013	0.300328859	0.642211355	0	1	1000	10	35	10
52	1	0	1	0.032675911	0.013308067	0.367521921	0.522406662	0.005	0.005	0.231755288	0.626887995	0	1	1000	10	35	10
53	1	0	1	0.019446679	0.006	0.563971648	0.2	0.01120545	0.005616756	0.31129414	0.282536306	0	1	1000	10	35	10
54	1	0	1	0.015	0.016064515	0.2	0.295558441	0.007537645	0.015287147	0.125	0.354670129	0	1	1000	10	35	10
55	0	0	1	0.015120884	0.010494281	0.591690363	0.2	0.00593748	0.005	0.237593235	0.24	0	1	1000	10	35	10
56	0	1	1	0.035528299	0.006	0.405748676	0.241261064	0.005557482	0.008787531	0.125	0.289513277	0	1	1000	10	35	10
57	0	1	1	0.030577401	0.008190243	0.227934081	0.441836608	0.016415194	0.019823336	0.216021633	0.53020393	0	1	1000	10	35	10
58	0	0	1	0.034329656	0.015648622	0.2	0.258423634	0.019439085	0.012286113	0.277330336	0.310108361	0	1	1000	10	35	10
59	1	0	1	0.031800751	0.020537732	0.385071364	0.270498056	0.010498877	0.018233875	0.181304665	0.383240857	0	1	1000	10	35	10
60	1	0	1	0.015	0.006	0.523619851	0.546574574	0.018718771	0.01746134	0.125	0.655889489	0	1	1000	10	35	10
61	0	1	1	0.01623512	0.006969319	0.2	0.407884408	0.009410921	0.014276475	0.125	0.48946129	0	1	1000	10	35	10
62	1	0	1	0.033439535	0.006	0.207044665	0.530173413	0.007506194	0.012650931	0.275792672	0.636208096	0	1	1000	10	35	10
63	0	1	1	0.015	0.02408882	0.384698302	0.360877257	0.005	0.006671358	0.125	0.433052708	0	1	1000	10	35	10
64	0	0	1	0.043485181	0.022278773	0.2	0.432326526	0.009895011	0.005	0.125	0.518791832	0.017800388	1	1000	10	35	10
65	1	0	1	0.031125168	0.016191351	0.2	0.2	0.007551169	0.019014262	0.163767313	0.24	0	1	1000	10	35	10
66	1	0	1	0.015	0.017269428	0.567888979	0.2	0.005	0.010761527	0.235813911	0.24	0	1	1000	10	35	10
67	1	0	1	0.037357648	0.013777839	0.28955176	0.217907402	0.005	0.016311916	0.165712661	0.261488883	0	1	1000	10	35	10
68	1	0	1	0.015	0.008453131	0.56305934	0.414428723	0.005	0.019974668	0.178143414	0.497314468	0	1	1000	10	35	10
69	0	1	1	0.015	0.009016785	0.572675603	0.533227738	0.006398287	0.017880512	0.344795033	0.639873286	0	1	1000	10	35	10
70	1	0	1	0.040666656	0.022949474	0.320192341	0.2	0.010679111	0.005	0.125	0.24	0	1	1000	10	35	10
71	0	1	1	0.031861544	0.02046762	0.227798702	0.2	0.019137793	0.005	0.316458228	0.571332152	0	1	1000	10	35	10
72	0	0	1	0.042020861	0.018027327	0.2	0.403194947	0.012984055	0.005	0.269680346	0.487766893	0.01	1	1000	10	35	10
73	0	0	1	0.019398703	0.015235745	0.216467203	0.537381414	0.010271272	0.018685281	0.125	0.644857697	0	1	1000	10	35	10
74	0	0	1	0.015	0.014695001	0.513624279	0.2	0.005	0.007085816	0.218439988	0.48746811	0.01	1	1000	10	35	10
75	1	0	1	0.015	0.022427191	0.530230592	0.2	0.016911574	0.01541685	0.32512166	0.538348442	0	1	1000	10	35	10
76	1	0	1	0.015	0.006	0.2	0.2	0.005	0.018992215	0.125	0.373164286	0	1	1000	10	35	10
77	0	0	1	0.015555213	0.022861218	0.486366671	0.240695092	0.005	0.005	0.152367264	0.573762415	0.017130341	1	1000	10	35	10
78	0	0	1	0.01534658	0.015631845	0.363692252	0.239690827	0.010169976	0.005	0.192297716	0.287628993	0	1	1000	10	35	10
79	1	0	1	0.035570455	0.006	0.398121204	0.2	0.005	0.005	0.231199451	0.38415212	0	1	1000	10	35	10
80	1	0	1	0.015	0.017669489	0.200543702	0.574995462	0.005	0.011764601	0.185783662	0.689994555	0	1	1000	10	35	10
81	0	0	1	0.015	0.006	0.457725297	0.396903697	0.017300167	0.018690601	0.146072731	0.476284436	0.01	1	1000	10	35	10
82	0	0	1	0.021958243	0.017878461	0.2	0.366553304	0.005	0.017763059	0.31292296	0.439863965	0.01	1	1000	10	35	10
83	0	1	1	0.015	0.019671854	0.304769501	0.2	0.005	0.008815541	0.206658305	0.24	0	1	1000	10	35	10
84	1	0	1	0.029251486	0.006	0.338585799	0.2	0.015486525	0.005	0.312553511	0.24	0	1	1000	10	35	10
85	0	1	1	0.042557543	0.010921198	0.2	0.523059837	0.008991245	0.007957827	0.129637753	0.627671804	0	1	1000	10	35	10
86	1	0	1	0.022086756	0.018577643	0.335323481	0.2	0.016089098	0.015316567	0.178056408	0.24	0	1	1000	10	35	10
87	1	0	1	0.035117502	0.006	0.44507576	0.2	0.005	0.013524267	0.125	0.24	0	1	1000	10	35	10
88	1	0	1	0.019792786	0.009285397	0.516668977	0.2	0.005	0.008294484	0.301831053	0.583090926	0	1	1000	10	35	10
89	0	1	1	0.034663447	0.012283529	0.200000011	0.221924679	0.006494001	0.014895538	0.145780026	0.266309615	0	1	1000	10	35	10
90	0	1	1	0.043075834	0.022056309	0.439215074	0.492374032	0.015496142	0.005	0.125	0.590848838	0	1	1000	10	35	10
91	0	0	1	0.019783245	0.013917027	0.2	0.519500186	0.010028526	0.019752904	0.31727059	0.623400223	0.01	1	1000	10	35	10
92	0	0	1	0.027779007	0.022613284	0.218789621	0.269158557	0.011162625	0.005	0.125	0.322990268	0	1	1000	10	35	10
93	0	1	1	0.038803193	0.022914479	0.468832895	0.2	0.013328107	0.005729376	0.126179304	0.24	0	1	1000	10	35	10
94	1	0	1	0.016652695	0.006	0.2	0.2	0.005	0.005887235	0.125	0.410202169	0	1	1000	10	35	10
95	0	1	1	0.023022779	0.024176627	0.432252677	0.2	0.01641165	0.005	0.12634891	0.55678827	0	1	1000	10	35	10
96	1	0	1	0.044638508	0.01315519	0.429008171	0.511608201	0.006474518	0.019335069	0.213855777	0.613929842	0	1	1000	10	35	10
97	1	0	1	0.0337976	0.012716009	0.2	0.515020941	0.005	0.005	0.125	0.61802513	0	1	1000	10	35	10
98	1	0	1	0.015	0.006	0.442997158	0.2	0.019118003	0.009172984	0.125	0.591854879	0	1	1000	10	35	10
99	1	0	1	0.015	0.017448913	0.32539775	0.33090122	0.005	0.010619189	0.125	0.416504958	0	1	1000	10	35	10
100	1	0	1	0.015	0.006	0.445807849	0.51504574	0.005	0.009281356	0.125	0.618054889	0	1	1000	10	35	10
101	0	1	1	0.015	0.006	0.48164621	0.557732647	0.007952143	0.01252154	0.17556994	0.669279176	0	1	1000	10	35	10
102	1	0	1	0.026941356	0.006946859	0.201938562	0.2	0.005	0.016862953	0.147769059	0.24	0	1	1000	10	35	10
103	1	0	1	0.029926783	0.023537749	0.2	0.2	0.005299113	0.005	0.125	0.448794874	0	1	1000	10	35	10
104	0	1	1	0.032148724	0.006956435	0.419378928	0.365185384	0.005	0.018715905	0.342561564	0.43822246	0	1	1000	10	35	10
105	0	0	1	0.031029648	0.006	0.503202095	0.575745708	0.014983158	0.005	0.125	0.69089485	0.01	1	1000	10	35	10
106	0	0	1	0.020092245	0.006	0.48213312	0.287309719	0.010887148	0.005	0.308903328	0.344771663	0	1	1000	10	35	10
107	0	0	1	0.015	0.006	0.2	0.265725946	0.009782172	0.005	0.190032692	0.318871135	0.017658161	1	1000	10	35	10
108	1	0	1	0.026295629	0.018889107	0.411108329	0.2	0.015564237	0.013891284	0.344952664	0.24	0	1	1000	10	35	10
109	1	0	1	0.025250271	0.019110395	0.509666502	0.2	0.019012399	0.005402621	0.125	0.581448439	0	1	1000	10	35	10
110	0	1	1	0.015	0.006	0.2	0.391506786	0.005	0.012748175	0.125305018	0.469808143	0	1	1000	10	35	10
111	1	0	1	0.015	0.01126924	0.456799947	0.493223542	0.012735865	0.011678165	0.273724122	0.591868251	0	1	1000	10	35	10
112	1	0	1	0.027171822	0.006	0.2	0.368297521	0.007849767	0.018645541	0.224785347	0.441957025	0	1	1000	10	35	10
113	1	0	1	0.030304381	0.015047938	0.2	0.329165452	0.014340219	0.009121932	0.125	0.394998543	0	1	1000	10	35	10
114	0	1	1	0.022248022	0.012416222	0.341095175	0.2	0.01526051	0.005	0.292127759	0.24	0	1	1000	10	35	10
115	0	1	1	0.0279767	0.014992232	0.396338914	0.382422448	0.005	0.010124215	0.125	0.458906937	0	1	1000	10	35	10
116	0	1	1	0.036413309	0.013295449	0.220341213	0.2	0.005	0.012315243	0.225741709	0.24	0	1	1000	10	35	10
117	1	0	1	0.015	0.02020281	0.348616692	0.566209873	0.005	0.017779838	0.346547251	0.679451848	0	1	1000	10	35	10
118	0	1	1	0.015	0.01822377	0.304444054	0.341098312	0.011759038	0.00678847	0.306205235	0.51634855	0	1	1000	10	35	10
119	0	1	1	0.015	0.019877138	0.277430649	0.2	0.014677283	0.005	0.125	0.527755696	0	1	1000	10	35	10
120	0	1	1	0.015	0.021210647	0.425637571	0.302246175	0.005	0.015018103	0.125	0.578696246	0	1	1000	10	35	10
121	0	0	1	0.026306821	0.006	0.395379993	0.383806728	0.005814825	0.00915554	0.273902835	0.497269115	0	1	1000	10	35	10
122	1	0	1	0.034733401	0.019914262	0.395549436	0.34918275	0.005	0.005	0.192600345	0.508214798	0	1	1000	10	35	10
123	0	0	1	0.015	0.009345679	0.219692912	0.2	0.01337933	0.009184622	0.293962057	0.443777052	0	1	1000	10	35	10
124	1	0	1	0.015	0.006	0.441126142	0.2	0.005	0.009237263	0.125	0.24	0	1	1000	10	35	10
125	1	0	1	0.017112654	0.006	0.447270465	0.348586099	0.013252649	0.006915867	0.125	0.418303319	0	1	1000	10	35	10
126	0	0	1	0.015711874	0.022348092	0.402277256	0.425876961	0.005	0.01755018	0.139805814	0.511052353	0	1	1000	10	35	10
127	1	0	1	0.015	0.006535816	0.539051608	0.561453832	0.015086307	0.013112655	0.13603756	0.673744599	0	1	1000	10	35	10
128	0	1	1	0.015326586	0.011209781	0.28854499	0.306595073	0.011093161	0.018025221	0.158797618	0.516693699	0	1	1000	10	35	10
129	0	1	1	0.036126848	0.006	0.53671097	0.2	0.014350367	0.005	0.261918225	0.24	0	1	1000	10	35	10
130	1	0	1	0.019933902	0.019234852	0.320006338	0.466680214	0.005	0.005	0.125	0.560016257	0	1	1000	10	35	10
131	1	0	1	0.015	0.006	0.356097675	0.2	0.00717772	0.012148491	0.125	0.24	0	1	1000	10	35	10
132	0	1	1	0.038031423	0.01388279	0.496400218	0.2	0.007995796	0.014687931	0.125	0.24	0	1	1000	10	35	10
133	1	0	1	0.015	0.008284223	0.2	0.204762121	0.013074303	0.012555761	0.317447022	0.245714545	0	1	1000	10	35	10
134	1	0	1	0.015	0.016999371	0.376751021	0.545489759	0.01878991	0.017266863	0.197971172	0.654587711	0	1	1000	10	35	10
135	0	1	1	0.024832803	0.018239335	0.564059167	0.475794896	0.007267318	0.013182399	0.125	0.570953875	0	1	1000	10	35	10
136	0	0	1	0.015	0.006	0.313946075	0.513403952	0.007374979	0.005316634	0.310926155	0.616084742	0.01	1	1000	10	35	10
137	1	0	1	0.020235073	0.006	0.2	0.538069038	0.005	0.016776007	0.219706853	0.645682845	0	1	1000	10	35	10
138	0	1	1	0.015	0.024027822	0.51496954	0.2	0.013599186	0.008015969	0.125606561	0.308691262	0	1	1000	10	35	10
139	1	0	1	0.015	0.02070032	0.2	0.2	0.008865205	0.00657135	0.125	0.24	0	1	1000	10	35	10
140	1	0	1	0.036861956	0.006	0.354205263	0.254049178	0.014690362	0.013096538	0.125	0.304859013	0	1	1000	10	35	10
141	0	0	1	0.015	0.006	0.545338604	0.582496861	0.018170439	0.016429648	0.168924231	0.698996233	0	1	1000	10	35	10
142	0	0	2	0.027739585	0.017864379	0.2	0.573685793	0.00852346	0.009021904	0.221985547	0.688422952	0.024954367	1	1000	10	35	10
143	0	0	3	0.015	0.016026881	0.30280422	0.392754349	0.005794126	0.01048365	0.125	0.471305219	0	1	1000	10	35	10
144	0	1	4	0.035845129	0.021395459	0.48461619	0.545585435	0.005	0.007521101	0.163942917	0.654702522	0	1	1000	10	35	10
145	0	1	5	0.043321427	0.006	0.28679349	0.2	0.015854215	0.016998089	0.311455006	0.404763868	0	1	1000	10	35	10
146	0	1	6	0.024060891	0.006	0.509310367	0.2	0.013722812	0.011598848	0.125	0.453433918	0	1	1000	10	35	10
147	0	0	7	0.018014418	0.006	0.289297998	0.585105222	0.010726979	0.017866319	0.272853994	0.702126266	0.024067203	1	1000	10	35	10
148	0	1	8	0.015	0.023009875	0.550493951	0.391857553	0.005	0.005878432	0.125	0.470229063	0	1	1000	10	35	10
149	0	0	9	0.038910542	0.006	0.351906476	0.580303975	0.005903539	0.009915316	0.345844819	0.69636477	0	1	1000	10	35	10
150	1	0	10	0.025686616	0.018367904	0.392022258	0.2	0.011070923	0.011424461	0.286382275	0.24	0	1	1000	10	35	10
